"lookback","minDrop","TP","SL","score","return_pct","win_rate","max_dd","trades"
1,18.1,19.1,16.4,0.318893341109044,51.2422764018537,66.6666666666667,-35.1100895477631,9
2,14.2,18.9,2.2,0.221779318477128,26.2812859089944,29.6296296296296,-51.125506514823,27
2,4,4.2,12.9,0.268378834797518,-1.31316926324092,75.0566893424036,-81.323276249568,441
6,7.1,15,10.3,0.187598882927781,6.7486919789511,45.2941176470588,-82.2496940503483,170
6,0.1,3,16,0.240692748979351,-71.6990901757253,82.1812596006144,-89.8911013966466,651
6,0.4,1.8,15.6,0.243126805416457,-68.1564358711895,86.734693877551,-91.5690256476851,980
6,3.5,11.8,10.4,0.207481990573145,59.9908893613015,51.4285714285714,-89.7334744670801,315
4,13.1,3,3.9,0.298425412755383,57.1118582743138,68.3333333333333,-51.0281850653559,60
2,11.8,15.3,6.9,0.280314121436878,95.4004640182347,47.6190476190476,-46.8967456690051,42
10,1.6,10.6,3.1,0.127156826241667,-96.7611579517417,26.0426320667285,-98.1633711423707,1079
7,13,7.8,0.1,0.263014688367177,116.28306113328,32.258064516129,-51.5072044053239,93
10,2.4,4.2,1.2,0.121923497881911,-99.9979964160229,26.6130884041332,-99.9988317898015,4355
9,16.3,17,15.2,0.234623359067021,31.437732009394,57.1428571428571,-61.0690771732003,28
1,14.1,7.8,9.8,0.407978220478123,229.693622926262,80.9523809523809,-25.9026938506517,21
2,8.1,8,13.5,0.223392435444124,14.4675656369525,65.4205607476635,-76.3543232186553,107
8,15.4,17.6,3.2,0.201536550398049,-15.4490441042114,26.1904761904762,-55.790679813649,42
8,16.6,6.7,4.1,0.243686336254928,25.181240436881,52.2727272727273,-57.4738752787853,44
2,7.1,6.6,3.8,0.307539840822499,163.609053342145,45.4976303317536,-54.2618098361289,211
9,7.6,19.5,11.6,0.199807197437313,26.4094799645832,44.1379310344828,-77.1204594673326,145
2,1,7.9,6.1,0.168735926243725,-90.2275265625178,45.0704225352113,-94.2095842592795,781
2,13.2,9.3,11.3,0.222138616537169,-19.427079579336,57.5757575757576,-63.1503195782922,33
10,0.2,11.5,9.7,0.19547288695114,-41.6884042552645,48.9189189189189,-88.8594996565492,370
9,11.2,11.7,1.8,0.247314171703734,32.3499506348335,26.2068965517241,-52.6757123773613,145
6,1.6,1.6,12.5,0.245036720556761,-71.0996732277198,85.1477449455677,-89.9623185602002,1286
5,17.6,6.4,7.5,0.345952471867384,192.857719744144,84.6153846153846,-47.0600307258675,26
10,4.9,5.2,3.9,0.161761518595525,-93.9603951745624,44.7444551591128,-96.1474310039076,1037
1,9.7,7,12.3,0.23456764317684,-15.5073869007584,63.3333333333333,-65.4569535476991,60
1,3.3,13.3,8.6,0.170745210914067,-60.8217031019801,42.4137931034483,-89.0248346707936,290
